siteID,NumPeaks,MaxPSD,pheno_var,MV_ModTerra_Mean,MV_ModTerra_Max,MV_ModAqua_Mean,MV_ModAqua_Max,MV_Landsat_Mean,MV_Landsat_Max
5421,5,0.550982408,1.839127479,1.604833956,13.55597451,0.510564479,2.356594811,3.11223855,12.95979244
5422,5,0.180760591,0.594617413,22.54191292,28.62911471,23.17422129,31.18032127,15.14000576,22.96475836
5431,5,0.310625323,1.097556144,10.64991975,9.99396997,10.98498676,7.141990156,7.634156467,7.301019531
5432,3,0.566285179,1.329978461,12.92929159,9.867623768,18.84227858,4.00051276,4.101334821,8.527760859
5433,4,0.659957466,1.380555275,8.120215109,3.641371783,9.251836391,5.43683609,5.281626018,6.296506752
5434,7,0.453150362,1.377175677,11.80822493,10.49528402,14.36692934,9.473141196,8.741148048,8.992575917
5435,4,0.24106955,0.678880933,17.10554285,7.23658411,14.63331534,8.758546849,10.27727682,8.188638966
5436,4,0.430205464,1.119500318,11.05314745,6.032495307,11.67589598,6.162341947,11.96313976,11.76073095
5437,7,0.388306968,1.404774669,11.56254559,6.094266484,15.39782797,6.252612877,6.22408859,6.344235122
5438,5,0.180760591,0.594617413,22.95304239,29.03461124,17.98860804,18.1280146,15.23717428,34.94414865
5439,6,0.179788524,2.076198139,26.08427081,37.56776322,34.76459911,40.0561416,8.387593579,24.23846431
5440,5,0.241155803,1.471281056,16.4114534,67.7963103,14.93167492,65.81591826,12.65436244,52.68189917
5441,7,0.180457374,1.532896932,19.92879924,63.62249492,19.10427825,31.31852707,10.00795134,19.67910121
5442,5,0.227609829,1.768059101,18.10481198,47.70381323,18.12509471,63.5108368,11.54329566,64.35474331
5443,5,0.136562568,0.960012404,16.75670627,11.83782346,13.45449182,14.26510713,20.48080732,14.18330973
5444,5,0.28593546,0.729182412,23.82450914,44.35523537,22.38711921,30.76731755,14.87802489,73.47424964
5445,4,0.235126634,1.153342115,9.455572905,29.41132007,8.720874366,23.02698145,5.870737593,16.95026707
5446,3,0.264201446,1.639410878,8.508642035,33.32941469,9.71731019,39.16969948,3.367335006,5.799715388
5451,6,0.23505578,0.71472153,36.07642214,18.01691688,29.11836787,38.37817044,10.89770699,26.80790327
5452,4,0.332223625,1.261525948,7.422852691,9.161415625,6.377414505,6.468660129,9.195924813,9.473630256
5453,6,0.265903207,0.907049167,22.16160827,12.27868049,18.89309648,7.637045653,6.79113212,16.35662775
5454,8,0.240631656,0.693369445,24.90901823,22.84301979,18.62514828,23.87015367,12.62464972,23.16564886
5455,3,0.121475478,0.913335387,9.493341166,13.44932616,9.658742791,15.59582915,6.427236834,13.43130942
5456,5,0.181379196,0.725544376,15.95584364,20.60027912,17.85948688,16.58749447,13.8448711,16.33013213
5457,5,0.370992252,0.764976483,35.25000398,27.41596204,50.53109732,61.39565012,8.858055064,13.88116509
5458,5,0.370822917,0.684988706,31.94009081,72.0461655,29.64338477,24.19500211,22.7294052,42.33134789
5459,8,0.175345623,3.253018557,1.393712039,1.817178549,1.736671251,2.654938077,-0.026646455,1.541620591
5460,5,0.320300278,0.800886739,17.76550319,9.284101396,24.96374382,9.231071114,7.632688181,6.992410747
5461,5,0.418320958,0.778915851,33.6640304,23.11450488,20.53038965,32.05726743,15.30515239,21.09188546
5489,4,0.464001078,0.65596471,28.7072644,35.65755921,27.86575504,36.26900348,10.12710337,15.40906577
5490,3,0.304836345,1.644456596,14.27334931,27.76760498,10.60590556,30.21270435,7.222872211,21.85367982
